url,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,places
https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Gone with the Wind,Margaret Mitchell,21104,1131446,4.3,1037,1936,False,,"['Pulitzer Prize for Novel (1937)', 'National Book Award for Novel (1936)']","['Atlanta, Georgia']"
https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,34117,1576463,4.22,193,1979,True,,,
https://www.goodreads.com/book/show/370493.The_Giving_Tree,The Giving Tree,Shel Silverstein,19171,981879,4.37,64,1964,False,,,
https://www.goodreads.com/book/show/6185.Wuthering_Heights,Wuthering Heights,Emily Brontë,43147,1476718,3.87,464,1847,False,,,
https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray,Oscar Wilde,38422,1107829,4.1,272,1890,False,,,['England']
https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,49390,2082487,3.88,489,2003,True,,"['British Book Award for Book of the Year (2005)', 'Book Sense Book of the Year Award for Adult Fiction (2004)', ""Humo's Gouden Bladwijzer (2004)"", 'Zilveren Vingerafdruk (2004)', ""The Flume: New Hampshire Teen Reader's Choice Award (2006)""]","['Paris', 'London, England', 'France']"
https://www.goodreads.com/book/show/10210.Jane_Eyre,Jane Eyre,Charlotte Brontë,47862,1771636,4.13,532,1847,False,,,"['Thornfield Hall', 'England', 'United Kingdom']"
https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha,Arthur Golden,31783,1814085,4.13,503,1997,False,,,"['Kyoto', 'Japan']"
https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,11867,497308,4.06,239,1871,False,,,"['United Kingdom', 'England', 'Wonderland']"
https://www.goodreads.com/book/show/24280.Les_Mis_rables,Les Misérables,Victor Hugo,18940,723783,4.18,1463,1862,False,,,"['Paris', 'France']"
https://www.goodreads.com/book/show/13079982-fahrenheit-451,Fahrenheit 451,Ray Bradbury,54578,1896930,3.98,194,1953,False,,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",
https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower,Stephen Chbosky,64823,1402210,4.21,213,1999,False,,,"['Pittsburgh, Pennsylvania']"
https://www.goodreads.com/book/show/13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,111351,3242581,4.17,487,2011,True,,"['Georgia Peach Book Award (2012)', 'South Carolina Book Award for Young Adult (2014)', 'Rhode Island Teen Book Award (2013)', 'Evergreen Teen Book Award (2014)', 'Soaring Eagle Book Award (2012)']","['Chicago, Illinois']"
https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby,F. Scott Fitzgerald,76387,4175823,3.93,200,1925,False,,"['Grammy Award Nominee for Best Spoken Word Album (2003)', 'Long Island Reads (2002)']","['New York City, New York', 'New York (State)', 'Long Island, New York']"
https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,125073,7936194,4.47,309,1997,True,,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year Award for Children (1999)', 'Audie Award (2000)']","['London, England', 'Hogwarts School of Witchcraft and Wizardry', 'Hogwarts School of Witchcraft and Wizardry']"
https://www.goodreads.com/book/show/18144590-the-alchemist,The Alchemist,Paulo Coelho,91040,2374142,3.89,182,1988,False,,"['NBDB National Book Awards Nominee for Translation (2015)', 'Grand Prix des lectrices de Elle for roman (1995)', 'Premio Grinzane Cavour for Narrativa Straniera (1996)', 'Corine Internationaler Buchpreis for Belletristik (2002)']","['Egypt', 'Sahara Desert', 'Tangier']"
https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,42134,2464853,3.69,182,1954,False,,,
https://www.goodreads.com/book/show/7144.Crime_and_Punishment,Crime and Punishment,Fyodor Dostoevsky,23566,711916,4.23,671,1866,False,,,"['Russian Empire', 'Saint Petersburg, Russian Empire', 'Siberia']"
https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,Romeo and Juliet,William Shakespeare,21858,2216913,3.75,281,1597,False,,,"['Verona', 'Italy']"
https://www.goodreads.com/book/show/157993.The_Little_Prince,The Little Prince,Antoine de Saint-Exupéry,46790,1591834,4.31,96,1943,False,,['Retro Hugo Award for Best Novella (2019)'],
https://www.goodreads.com/book/show/256683.City_of_Bones,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,66375,1765969,4.09,485,2007,True,,"['Locus Award Nominee for Best First Novel (2008)', 'Georgia Peach Book Award Nominee for Honor book (2009)', 'South Carolina Book Award Nominee for Young Adult Book Award (2010)', ""Pacific Northwest Library Association Young Reader's Choice Award (2010)"", 'Lincoln Award (2010)']","['New York City, New York']"
https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,27174,814762,4.26,320,1908,True,,,"['Avonlea, Prince Edward Island', 'Prince Edward Island']"
https://www.goodreads.com/book/show/4667024-the-help,The Help,Kathryn Stockett,86220,2349174,4.46,464,2009,False,,"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)']","['Jackson, Mississippi', 'Mississippi', 'The United States of America']"
https://www.goodreads.com/book/show/375802.Ender_s_Game,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,44884,1221740,4.3,324,1985,True,,"['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Premi Ictineu for Millor novel·la traduïda (2014)', 'Margaret A. Edwards Award (2008)']",
https://www.goodreads.com/book/show/24178.Charlotte_s_Web,Charlotte's Web,E.B. White,19764,1554770,4.18,184,1952,False,,"['Newbery Medal Nominee (1953)', ""George C. Stone Center for Children's Books Recognition of Merit Award (1970)"", 'Audie Award Nominee for Audiobook of the Year and Middle Grade (2020)', ""Massachusetts Children's Book Award (1984)"", 'Laura Ingalls Wilder Award (1970)']",['The United States of America']
https://www.goodreads.com/book/show/28187.The_Lightning_Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,69363,2272400,4.27,377,2005,True,,"[""Young Readers' Choice Award (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011)', 'South Carolina Book Award for Junior Book Award (2008)', 'Grand Canyon Reader Award for Tween Book (2008)', 'Nene Award (2008)']","['New York City, New York', 'Montauk, New York', 'New Jersey']"
https://www.goodreads.com/book/show/890.Of_Mice_and_Men,Of Mice and Men,John Steinbeck,38362,2111993,3.88,103,1937,False,,"[""New York Drama Critics' Circle Award for Best American Play (1938)""]","['Salinas Valley, California', 'California']"
https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife,Audrey Niffenegger,48703,1656494,3.98,500,2003,False,,"['Arthur C. Clarke Award Nominee (2005)', 'Orange Prize Nominee for Fiction Longlist (2004)', 'British Book Award (2006)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005)', 'Exclusive Books Boeke Prize (2005)']","['Chicago, Illinois', 'Illinois']"
https://www.goodreads.com/book/show/17245.Dracula,Dracula,Bram Stoker,30114,1035725,4.0,488,1897,False,,,"['Transylvania', 'Budapest', 'Whitby, Yorkshire, England']"
https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,35051,1576367,3.99,268,1932,False,,,"['New Mexico', 'London, England']"
https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,Gabriel García Márquez,34497,820671,4.09,417,1967,False,,"['Premio Internacional de Novela Rómulo Gallegos (1972)', 'Prix du Meilleur Livre Étranger for Roman (1969)']",['Macondo']
https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,J.D. Salinger,63867,2972217,3.81,277,1951,False,,"['Teen Read Award Nominee for Best All-Time-Fave (2010)', 'National Book Award Finalist for Fiction (1952)']","['New York City, New York', 'Agerstown, Pennsylvania']"
https://www.goodreads.com/book/show/21787.The_Princess_Bride,The Princess Bride,William Goldman,21805,831220,4.25,456,1973,False,,,
https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,Khaled Hosseini,59745,1264661,4.39,372,2007,False,,"['British Book Award for Best Read of the Year (2008)', 'Book Sense Book of the Year Award for Adult Fiction (2008)', 'California Book Award for Fiction (Silver) (2007)', 'Exclusive Books Boeke Prize Nominee (2007)', 'Lincoln Award Nominee (2011)']","['Afghanistan', 'Kabul', 'Herat']"
https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,Frances Hodgson Burnett,21537,988287,4.13,331,1910,False,,['Lewis Carroll Shelf Award (1958)'],"['Yorkshire, England', 'England', 'United Kingdom']"
https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,56502,2156767,4.44,835,1996,True,,"['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']",['The Lands of Ice and Fire']
https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,35426,1108297,3.99,218,1962,True,,"['Newbery Medal (1963)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1964)"", 'Oklahoma Sequoyah Award (1965)', 'Margaret A. Edwards Award (1998)']",['Connecticut']
https://www.goodreads.com/book/show/231804.The_Outsiders,The Outsiders,S.E. Hinton,36519,1053698,4.1,192,1967,False,,"['Books I Loved Best Yearly (BILBY) Awards for Secondary (1991)', 'Margaret A. Edwards Award (1988)']","['Tulsa, Oklahoma']"
https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,Mark Twain,16693,1196195,3.82,327,1884,False,,,"['The United States of America', 'St. Petersburg, Missouri', 'Hannibal, Missouri']"
https://www.goodreads.com/book/show/12232938-the-lovely-bones,The Lovely Bones,Alice Sebold,41998,2139648,3.83,372,2002,False,,"['Bram Stoker Award for Best First Novel (2002)', 'Orange Prize Nominee for Fiction Longlist (2003)', 'British Book Award for Best Read of the Year (2004)', 'Book Sense Book of the Year Award for Adult Fiction (2003)', 'California Book Award for First Fiction (Silver) (2002)']","['Philadelphia, Pennsylvania', 'Pennsylvania', 'The United States of America']"
https://www.goodreads.com/book/show/1381.The_Odyssey,The Odyssey,Homer,14000,923157,3.78,541,2006,False,,,['Ithaca']
https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,Maurice Sendak,12514,887467,4.22,38,1963,False,,"['Caldecott Medal (1964)', 'Lewis Carroll Shelf Award', 'Indies Choice Book Award for Picture Book Hall of Fame (2009)']",
https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,Dr. Seuss,10064,678187,4.29,64,1960,False,,,
https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi,Yann Martel,48700,1435629,3.92,460,2001,False,,"['Booker Prize (2002)', 'Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003)', 'Exclusive Books Boeke Prize (2003)', ""Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (2001)"", 'Lincoln Award Nominee (2005)']","['Pacific Ocean', 'Pondicherry', 'Toronto, Ontario']"
https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities,Charles Dickens,19111,856709,3.85,489,1859,False,,,"['Paris', 'London, England', 'France']"
https://www.goodreads.com/book/show/43641.Water_for_Elephants,Water for Elephants,Sara Gruen,59820,1465229,4.09,335,2006,False,,"['Book Sense Book of the Year Award for Adult Fiction (2007)', 'ALA Alex Award (2007)', 'The Quill Award Nominee for General Fiction (2006)', 'LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['The United States of America', 'Joliet, Illinois', 'Ithaca, New York']"
https://www.goodreads.com/book/show/7604.Lolita,Lolita,Vladimir Nabokov,27977,717057,3.88,331,1955,False,,['National Book Award Finalist for Fiction (1959)'],['The United States of America']
https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner,Khaled Hosseini,80178,2643988,4.31,371,2003,False,,"['Borders Original Voices Award for Fiction (2003)', ""Humo's Gouden Bladwijzer (2008)"", 'Exclusive Books Boeke Prize (2004)', 'ALA Alex Award (2004)', 'Puddly Award for Fiction (2006)']","['Kabul', 'Afghanistan']"
https://www.goodreads.com/book/show/35031085-frankenstein,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,39141,1276899,3.83,260,1818,False,,,"['Geneva', 'Ingolstadt', 'Switzerland']"
https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,29919,1210936,4.08,275,1969,False,,"['Hugo Award Nominee for Best SF Novel (1970)', 'Nebula Award Nominee for Best Novel (1969)', 'National Book Award Finalist for Fiction (1970)', ""Chicago Publishers' Award (1970)""]","['Dresden', 'Tralfamadore', 'Ilium']"
https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,78064,1643581,4.12,314,1985,True,,"['Booker Prize Nominee (1986)', 'Nebula Award Nominee for Best Novel (1986)', 'Locus Award Nominee for Best SF Novel (1987)', 'Arthur C. Clarke Award (1987)', 'Audie Award for Fiction (2013)']","['Republic of Gilead', 'The United States of America']"
https://www.goodreads.com/book/show/3636.The_Giver,"The Giver (The Giver, #1)",Lois Lowry,68722,1990544,4.13,208,1993,True,,"['Newbery Medal (1994)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1994)"", 'Golden Duck Award for Young Adult (Hal Clement Award) (1994)', 'Garden State Book Award for Teen Fiction Grades 6-8 (1996)', ""Buckeye Children's Book Award for Grade 6-8 (1997)""]",
https://www.goodreads.com/book/show/44767458-dune,"Dune (Dune, #1)",Frank Herbert,34009,925969,4.24,688,1965,True,,"['Hugo Award for Best Novel (1966)', 'Nebula Award for Best Novel (1965)', 'Seiun Award 星雲賞 for Best Foreign Novel (1974)']","['Arrakis', 'Caladan', 'Giedi Prime']"
https://www.goodreads.com/book/show/1934.Little_Women,Little Women,Louisa May Alcott,35463,1838044,4.11,449,1869,False,,,"['Concord, Massachusetts', 'Massachusetts', 'London, England']"
https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,71084,3092165,4.61,759,2007,True,,"['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)']","['London, England', 'Hogwarts School of Witchcraft and Wizardry', 'Pagford']"
https://www.goodreads.com/book/show/168668.Catch_22,Catch-22,Joseph Heller,19730,764326,3.98,453,1961,False,,['National Book Award Finalist for Fiction (1962)'],['Italy']
https://www.goodreads.com/book/show/149267.The_Stand,The Stand,Stephen King,23722,675396,4.33,1152,1978,False,,"['Locus Award Nominee for Best SF Novel (1979)', 'World Fantasy Award Nominee for Best Novel (1979)', 'Gandalf Award Nominee (1979)', 'Balrog Award Nominee for Best Novel (1979) (1980)']","['The United States of America', 'New York City, New York', 'Boulder, Colorado']"
https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,33217,691839,4.32,976,1989,True,,,['England']
https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,7441,266478,4.29,389,1892,True,,,
https://www.goodreads.com/book/show/76620.Watership_Down,"Watership Down (Watership Down, #1)",Richard Adams,14773,454747,4.06,478,1972,True,,"['Mythopoeic Fantasy Award Nominee (1975)', ""Guardian Children's Fiction Prize (1973)"", 'Audie Award Nominee for Best Male Narrator (2020)', 'Boston Globe-Horn Book Award (1975)', 'California Young Readers Medal for Young Adult (1977)']","['Watership Down, Hampshire', 'Hampshire, England', 'England']"
https://www.goodreads.com/book/show/2623.Great_Expectations,Great Expectations,Charles Dickens,17726,701604,3.78,544,1860,False,,"['Audie Award for Classic (2010)', 'Премія імені Максима Рильського (1993)']",
https://www.goodreads.com/book/show/6514.The_Bell_Jar,The Bell Jar,Sylvia Plath,28480,672269,4.02,294,1963,False,,,"['Boston, Massachusetts', 'New York City, New York', 'Massachusetts']"
https://www.goodreads.com/book/show/39988.Matilda,Matilda,Roald Dahl,18464,745202,4.32,240,1988,False,,"['Odyssey Award Nominee (2014)', 'Prijs van de Nederlandse Kinderjury for 10-12 jaar en 13-16 jaar (1989)', ""Audie Award for Children's Titles Ages 8-12 (2014)"", 'Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1990), Younger Readers (1997) (1990)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1989)""]",['United Kingdom']
https://www.goodreads.com/book/show/15823480-anna-karenina,Anna Karenina,Leo Tolstoy,27255,724602,4.06,964,1877,False,,,['Russia']
https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,26684,2510030,4.37,527,1954,True,,['Publieksprijs voor het Nederlandse Boek Nominee (2002)'],['Middle-earth']
https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,Ken Kesey,12350,671935,4.19,325,1962,False,,,"['Salem, Oregon']"
https://www.goodreads.com/book/show/10964.Outlander,"Outlander (Outlander, #1)",Diana Gabaldon,48060,907687,4.23,850,1991,True,,"['RITA Award by Romance Writers of America Nominee for Best First Book & Single Title Historical Romance (1992)', 'Puddly Award for Romance (2001)']","['Lallybroch, Scotland', 'Scottish Highlands', 'Inverness, Scotland']"
https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,71078,2819206,4.15,465,2005,True,,"['Barry Award for Mystery/Crime Novel Of The Decade (2010)', 'Macavity Award for Best First Mystery Novel (2009)', 'Anthony Award for Best First Novel (2009)', 'Glass Key Award (2006)', 'CWA International Dagger Nominee (2008)']","['Stockholm', 'Hedeby Island', 'Hedestad, Stockholm']"
https://www.goodreads.com/book/show/17899948-rebecca,Rebecca,Daphne du Maurier,29078,519355,4.23,449,1938,False,,"['National Book Award for Fiction (1938)', 'Anthony Award for Best Novel of the Century (2000)']","['Monte Carlo', 'Cornwall, England']"
https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,My Sister's Keeper,Jodi Picoult,34340,1110692,4.08,423,2004,False,,"['Audie Award for Multi-Voiced Performance (2005)', ""Pennsylvania Young Readers' Choice Award for Young Adults (2007)"", 'ALA Alex Award (2005)', 'Lincoln Award (2006)', 'Green Mountain Book Award (2007)']","['The United States of America', 'Providence, Rhode Island', 'Rhode Island']"
https://www.goodreads.com/book/show/52892857-the-color-purple,The Color Purple,Alice Walker,17768,571008,4.24,304,1982,False,,"['Pulitzer Prize for Fiction (1983)', 'National Book Award for Fiction (Hardcover) (1983)', 'National Book Critics Circle Award Nominee for Fiction (1982)', 'Townsend Prize for Fiction (1984)']",['Georgia']
https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,62941,3193437,4.57,435,1999,True,,"['Bram Stoker Award for Best Work for Young Readers (1999)', 'Hugo Award Nominee for Best Novel (2000)', 'Locus Award for Best Fantasy Novel (2000)', ""Whitbread Award for Children's Book of the Year (1999)"", ""Mythopoeic Fantasy Award for Children's Literature (2008)""]","['Hogwarts School of Witchcraft and Wizardry', 'London, England']"
https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn,Betty Smith,22332,412383,4.28,496,1943,False,,['Audie Award for Classic (2002)'],"['Williamsburg, Brooklyn, New York', 'New York City, New York', 'The United States of America']"
https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov,Fyodor Dostoevsky,12760,269576,4.32,796,1879,False,,,['Russia']
https://www.goodreads.com/book/show/41817486-a-clockwork-orange,A Clockwork Orange,Anthony Burgess,15487,649171,3.99,213,1962,False,,['Prometheus Hall of Fame Award (2008)'],['England']
https://www.goodreads.com/book/show/6288.The_Road,The Road,Cormac McCarthy,48374,776928,3.97,241,2006,False,,"['Pulitzer Prize for Fiction (2007)', 'Locus Award Nominee for Best SF Novel (2007)', 'James Tait Black Memorial Prize for Fiction (2006)', 'The Quill Award for General Fiction (2007)', 'Puddly Award for Fiction (2010)']",['The United States of America']
https://www.goodreads.com/book/show/252577.Angela_s_Ashes,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,12583,575732,4.12,452,1996,True,,"['Pulitzer Prize for Biography or Autobiography (1997)', 'American Booksellers Book Of The Year Award for Adult Trade (1997)', 'Audie Award for Nonfiction, Abridged (1997)', 'Los Angeles Times Book Prize for Biography (1996)', 'Exclusive Books Boeke Prize (1997)']","['Limerick', 'New York (State)', 'Ireland']"
https://www.goodreads.com/book/show/345627.Vampire_Academy,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,23304,599819,4.11,332,2007,True,,,['Montana']
https://www.goodreads.com/book/show/52036.Siddhartha,Siddhartha,Hermann Hesse,20043,641416,4.04,152,1922,False,,,['India']
https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible,Barbara Kingsolver,24215,687210,4.07,546,1998,False,,"['Pulitzer Prize Nominee for Fiction (1999)', 'Orange Prize Nominee for Fiction Shortlist (1999)', 'Book Sense Book of the Year Award for Adult (2000)', 'PEN/Faulkner Award for Fiction Nominee (1999)', 'Independent Publisher Book Award (IPPY) for Audio Fiction - Unabridged (1999)']","['Bethlehem, Georgia', 'Kilanga', 'Sanderling Island, Georgia']"
https://www.goodreads.com/book/show/119322.The_Golden_Compass,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,24321,1376967,4.0,399,1995,True,,"[""Guardian Children's Fiction Prize (1996)"", ""Audie Award for Children's Titles (2000)"", 'Lincoln Award Nominee (2005)', 'Carnegie Medal (1995)']","['Oxford, England', 'Svalbard, Spitsbergen']"
https://www.goodreads.com/book/show/3836.Don_Quixote,Don Quixote,Miguel de Cervantes Saavedra,9183,231069,3.88,1023,1605,False,,"['Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium & Best Humor Publication (2014)', 'Βραβείο Λογοτεχνικής Μετάφρασης ΕΚΕΜΕΛ for Ισπανόφωνη Λογοτεχνία (2010)', 'Premio de traducción literaria Valle Inclán for John Rutherford (2002)']","['La Mancha', 'Barcelona, Catalonia', 'Spain']"
https://www.goodreads.com/book/show/662.Atlas_Shrugged,Atlas Shrugged,Ayn Rand,18245,369064,3.69,1078,1957,False,,"['Prometheus Hall of Fame Award (1983)', 'National Book Award Finalist for Fiction (1958)']",
https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,Ernest Hemingway,28698,923696,3.79,96,1952,False,,"['Pulitzer Prize for Fiction (1953)', 'Premio Bancarella (1953)', 'National Book Award Finalist for Fiction (1953)']","['Cuba', 'Gulf of Mexico']"
